Year,Month,Business Expecations,SF Building permits,Airline Passengers,Us dollar exchange,Initial Unemployment Claims,Weekly manufacturing Hours 
2001,1,157.15,90.82,90.42,85.1,97.27,106.11
2001,2,156.5,76.04,89.24,84.62,91.08,104.72
2001,3,156.34,90.3,89,83.26,100.42,106.13
2001,4,156.17,88.29,88.88,82.62,95.44,103.22
2001,5,156.69,101.83,88.62,82.71,88.39,107.67
2001,6,155,99.73,86.95,82.16,87.11,102.58
2001,7,156.67,88.24,88.5,81.89,94.44,104.59
2001,8,159,91.9,93.34,83.26,88.02,105.54
2001,9,153.48,83.94,64.19,83.02,92.64,105.86
2001,10,151.64,79.94,82.46,82.47,80.91,106.14
2001,11,154.65,95.94,83.31,82.13,75.09,105.14
2001,12,155.02,85.32,82.25,82.08,80.81,107.95
2002,1,157.52,99.69,84.95,81.07,84.28,105.31
2002,2,156.21,106.52,82.49,80.61,86.22,104.96
2002,3,157.37,94.7,84.35,81.08,73.67,104.58
2002,4,158.2,101.33,83.2,81.32,75.99,105.17
2002,5,159.21,96.34,84.17,82.31,79.3,103.94
2002,6,158.02,88.86,83.21,83.26,97.42,105.15
2002,7,156.69,103.08,84.55,84.44,69.69,105.08
2002,8,157.85,96.06,87.08,83.48,79.12,104.39
2002,9,155.87,104.69,81.78,82.87,79.62,103.68
2002,10,156.35,112.24,84.26,82.27,72.81,101.93
2002,11,155.85,114.17,83.43,83.11,85.98,102.48
2002,12,156.51,108.13,91.75,83.55,82.71,102.36
2003,1,156.03,112.58,84.47,84.59,81.94,101.65
2003,2,154.18,114.69,84.75,84.7,74.95,102.69
2003,3,151.01,111.15,82.88,85.02,84.15,102.34
2003,4,155.86,119.42,80.25,85.7,73.85,101.59
2003,5,155.69,119.3,84.47,88.59,75,100.32
2003,6,157.37,122.94,84.79,89.07,79.46,100.6
2003,7,157.35,134.02,86.57,88.16,80.72,100.26
2003,8,159.54,94.43,85.92,87.2,92.32,100.5
2003,9,156.86,125.56,85.44,88.18,76.23,101.39
2003,10,159.04,135.22,86.12,89.96,86.39,102.23
2003,11,159.21,117.47,85.25,90.06,86.45,102.37
2003,12,162.54,140.14,88.6,91.3,82.24,101
2004,1,161.88,122.15,85.43,92.84,88.7,102.48
2004,2,158.87,125.59,87.47,92.4,72.4,101.34
2004,3,159.21,154.96,88.56,91.5,83.81,99.34
2004,4,160.04,142.64,89.75,90.85,91.1,99.6
2004,5,159.71,121.21,87.81,89.4,90.5,101.22
2004,6,158.04,139.74,90.32,90.26,85.86,100.31
2004,7,161.21,121.19,88.88,90.89,85.26,96.99
2004,8,160.51,133.41,89.9,90.76,79.3,100.45
2004,9,158.52,130.27,91.87,91.14,85.7,100.02
2004,10,158.68,120.1,91.73,92.43,89.78,99.96
2004,11,162.21,134.03,91.64,94.84,85.8,100.53
2004,12,161.54,150.63,91.68,95.91,93.55,102.04
2005,1,160.21,108.02,92.3,95.41,87,97.86
2005,2,160.71,132.73,92.88,95.22,92.24,96.11
2005,3,157.71,171.18,94.65,95.74,90.69,94.72
2005,4,157.53,117.05,94.62,94.94,94.34,97.87
2005,5,159.19,132.35,94.65,94.53,98.14,97.33
2005,6,157.51,124.04,97.03,93.61,89.73,97.68
2005,7,158.69,130.18,94.95,93.25,89.28,98.06
2005,8,160.02,123.72,96.14,94.46,94.3,96.81
2005,9,158.5,134.01,98.34,94.53,84.74,95.65
2005,10,162.05,137.08,95.93,93.65,96.17,94.65
2005,11,158.19,136.1,97.71,93.01,79.38,93.99
2005,12,158.51,133.09,97.22,93.6,89.59,95.64
2006,1,159.68,140.62,97.75,94.9,122.6,94.94
2006,2,160.03,129.16,96.01,94.69,104.47,98.01
2006,3,155.01,106.1,96.33,94.55,77.06,96.88
2006,4,158.85,92.56,95.07,95.21,106.14,95.96
2006,5,158.01,88.17,95.65,97.2,88.58,97.14
2006,6,155.18,93.01,94.1,96.06,96.48,99.89
2006,7,158.01,74.5,91.3,96.3,95.12,97.14
2006,8,157.32,86.88,95.11,96.94,84.49,96.87
2006,9,158.5,82.01,95.04,96.7,94.24,96.74
2006,10,158.17,82.96,97.46,96.46,92.49,97.88
2006,11,159.84,105.86,100.96,97.25,88.6,97.44
2006,12,156.35,87.29,97.53,98,100.45,99.41
2007,1,159.35,83.14,97.6,97.07,89.69,100.51
2007,2,157.18,80.17,97.43,97.4,97.81,101.24
2007,3,156.34,96.79,97.07,97.9,103.49,100.97
2007,4,156.67,98.2,97.66,99.15,98.81,101.52
2007,5,157.01,100,100,100,100,100
2007,6,155.83,74.44,96.86,100.25,112.16,100.68
2007,7,156.67,93.14,99.26,101.55,106.91,100.85
2007,8,157.16,93.44,103.88,100.99,111.83,100.4
2007,9,157,76.69,99.51,102.34,107.17,100.8
2007,10,155.84,76.28,99,104.46,93.87,100.13
2007,11,154.99,60.64,99.78,105.96,102.69,99.01
2007,12,154.65,43.47,98.66,105.09,93.24,97.81
2008,1,153.65,71.16,100.7,105.98,87.47,98.91
2008,2,153.64,60.33,102.04,106.87,88.26,98.32
2008,3,150.49,64.22,98.19,109,90.62,100.24
2008,4,151.15,68.18,98.82,109.43,83.73,99.84
2008,5,148.8,71.54,98.87,109.02,100.26,100.37
2008,6,149.79,77.86,97.33,108.81,96.22,99.56
2008,7,150.13,76.18,99.9,109.62,88.58,99.36
2008,8,151.96,67.61,95.95,106.8,114.22,99.51
2008,9,151.98,79.97,94.84,104.23,89.02,99.17
2008,10,147.29,64.86,96.48,97.74,70.54,98.92
2008,11,146.31,49.49,91.16,95.35,82.97,98.44
2008,12,144.97,33.48,98.39,96.36,66.9,96.62
2009,1,144.63,30.44,94.15,95.76,74.63,94.44
2009,2,144.1,56.94,93.94,93.46,60.15,90.65
2009,3,141.45,47.09,93.77,93.06,60.27,90.46
2009,4,146.49,58.58,96.28,95.43,60.13,86.87
